"","species","year","jd"
"1085","Phoebis sennae",2020,116
"1089","Phyciodes tharos",1993,95
"1090","Phyciodes tharos",1994,105
"1091","Phyciodes tharos",1995,115
"1092","Phyciodes tharos",1996,133
"1093","Phyciodes tharos",1997,122
"1094","Phyciodes tharos",1998,125
"1095","Phyciodes tharos",1999,111
"1096","Phyciodes tharos",2000,102
"1097","Phyciodes tharos",2001,140
"1098","Phyciodes tharos",2002,104
"1099","Phyciodes tharos",2003,122
"1100","Phyciodes tharos",2004,114
"1101","Phyciodes tharos",2005,118
"1102","Phyciodes tharos",2006,105
"1103","Phyciodes tharos",2007,122
"1104","Phyciodes tharos",2008,107
"1105","Phyciodes tharos",2009,123
"1106","Phyciodes tharos",2010,121
"1107","Phyciodes tharos",2011,119
"1108","Phyciodes tharos",2012,89
"1109","Phyciodes tharos",2013,128
"1110","Phyciodes tharos",2014,113
"1111","Phyciodes tharos",2015,122
"1112","Phyciodes tharos",2016,99
"1114","Phyciodes tharos",2018,121
"1115","Phyciodes tharos",2019,114
"1116","Phyciodes tharos",2020,119
"1120","Pieris rapae",1993,95
"1121","Pieris rapae",1994,135
"1122","Pieris rapae",1995,109
"1123","Pieris rapae",1996,133
"1124","Pieris rapae",1997,67
"1125","Pieris rapae",1998,88
"1126","Pieris rapae",1999,90
"1127","Pieris rapae",2000,71
"1128","Pieris rapae",2001,83
"1129","Pieris rapae",2002,83
"1130","Pieris rapae",2003,122
"1131","Pieris rapae",2004,85
"1132","Pieris rapae",2005,106
"1133","Pieris rapae",2006,76
"1134","Pieris rapae",2007,68
"1135","Pieris rapae",2008,109
"1136","Pieris rapae",2009,81
"1137","Pieris rapae",2010,79
"1138","Pieris rapae",2011,98
"1139","Pieris rapae",2012,77
"1140","Pieris rapae",2013,100
"1141","Pieris rapae",2014,103
"1142","Pieris rapae",2015,127
"1143","Pieris rapae",2016,77
"1145","Pieris rapae",2018,139
"1146","Pieris rapae",2019,37
"1147","Pieris rapae",2020,144
"1153","Polites origenes",1995,141
"1155","Polites origenes",1997,144
"1156","Polites origenes",1998,139
"1157","Polites origenes",1999,140
"1158","Polites origenes",2000,144
"1159","Polites origenes",2001,144
"1160","Polites origenes",2002,143
"1161","Polites origenes",2003,150
"1162","Polites origenes",2004,137
"1164","Polites origenes",2006,155
"1165","Polites origenes",2007,145
"1166","Polites origenes",2008,150
"1167","Polites origenes",2009,141
"1168","Polites origenes",2010,146
"1169","Polites origenes",2011,144
"1170","Polites origenes",2012,132
"1176","Polites origenes",2018,156
"1177","Polites origenes",2019,181
"1178","Polites origenes",2020,159
"1182","Polygonia comma",1993,31
"1183","Polygonia comma",1994,65
"1184","Polygonia comma",1995,84
"1185","Polygonia comma",1996,76
"1187","Polygonia comma",1998,73
"1188","Polygonia comma",1999,77
"1189","Polygonia comma",2000,59
"1190","Polygonia comma",2001,47
"1191","Polygonia comma",2002,69
"1192","Polygonia comma",2003,81
"1193","Polygonia comma",2004,60
"1194","Polygonia comma",2005,79
"1195","Polygonia comma",2006,47
"1197","Polygonia comma",2008,71
"1198","Polygonia comma",2009,108
"1199","Polygonia comma",2010,67
"1200","Polygonia comma",2011,71
"1201","Polygonia comma",2012,125
"1202","Polygonia comma",2013,96
"1203","Polygonia comma",2014,61
"1204","Polygonia comma",2015,133
"1205","Polygonia comma",2016,78
"1207","Polygonia comma",2018,88
"1209","Polygonia comma",2020,93
"1213","Polygonia interrogationis",1993,74
"1214","Polygonia interrogationis",1994,84
"1215","Polygonia interrogationis",1995,98
"1216","Polygonia interrogationis",1996,111
"1217","Polygonia interrogationis",1997,61
"1218","Polygonia interrogationis",1998,74
"1219","Polygonia interrogationis",1999,76
"1220","Polygonia interrogationis",2000,83
"1221","Polygonia interrogationis",2001,48
"1222","Polygonia interrogationis",2002,75
"1223","Polygonia interrogationis",2003,92
"1224","Polygonia interrogationis",2004,61
"1225","Polygonia interrogationis",2005,88
"1226","Polygonia interrogationis",2006,59
"1227","Polygonia interrogationis",2007,73
"1228","Polygonia interrogationis",2008,66
"1229","Polygonia interrogationis",2009,68
"1230","Polygonia interrogationis",2010,72
"1231","Polygonia interrogationis",2011,78
"1232","Polygonia interrogationis",2012,77
"1233","Polygonia interrogationis",2013,139
"1234","Polygonia interrogationis",2014,91
"1235","Polygonia interrogationis",2015,136
"1236","Polygonia interrogationis",2016,72
"1237","Polygonia interrogationis",2017,81
"1238","Polygonia interrogationis",2018,73
"1240","Polygonia interrogationis",2020,87
"1244","Pompeius verna",1993,145
"1245","Pompeius verna",1994,135
"1248","Pompeius verna",1997,160
"1249","Pompeius verna",1998,151
"1250","Pompeius verna",1999,150
"1251","Pompeius verna",2000,152
"1252","Pompeius verna",2001,145
"1253","Pompeius verna",2002,132
"1255","Pompeius verna",2004,137
"1256","Pompeius verna",2005,146
"1257","Pompeius verna",2006,139
"1258","Pompeius verna",2007,145
"1260","Pompeius verna",2009,146
"1261","Pompeius verna",2010,134
"1262","Pompeius verna",2011,148
"1263","Pompeius verna",2012,132
"1264","Pompeius verna",2013,145
"1265","Pompeius verna",2014,207
"1266","Pompeius verna",2015,157
"1267","Pompeius verna",2016,135
"1268","Pompeius verna",2017,137
"1269","Pompeius verna",2018,152
"1275","Pyrgus communis",1993,227
"1278","Pyrgus communis",1996,208
"1279","Pyrgus communis",1997,94
"1280","Pyrgus communis",1998,91
"1281","Pyrgus communis",1999,98
"1282","Pyrgus communis",2000,77
"1283","Pyrgus communis",2001,216
"1284","Pyrgus communis",2002,97
"1285","Pyrgus communis",2003,134
"1286","Pyrgus communis",2004,115
"1287","Pyrgus communis",2005,183
"1288","Pyrgus communis",2006,115
"1289","Pyrgus communis",2007,118
"1290","Pyrgus communis",2008,104
"1291","Pyrgus communis",2009,200
"1292","Pyrgus communis",2010,122
"1293","Pyrgus communis",2011,226
"1294","Pyrgus communis",2012,211
"1295","Pyrgus communis",2013,160
"1296","Pyrgus communis",2014,189
"1297","Pyrgus communis",2015,129
"1298","Pyrgus communis",2016,134
"1299","Pyrgus communis",2017,103
"1300","Pyrgus communis",2018,121
"1301","Pyrgus communis",2019,112
"1302","Pyrgus communis",2020,172
"1312","Speyeria cybele",1999,150
"1313","Speyeria cybele",2000,152
"1315","Speyeria cybele",2002,143
"1317","Speyeria cybele",2004,137
"1319","Speyeria cybele",2006,147
"1320","Speyeria cybele",2007,145
"1321","Speyeria cybele",2008,163
"1322","Speyeria cybele",2009,141
"1323","Speyeria cybele",2010,134
"1324","Speyeria cybele",2011,138
"1327","Speyeria cybele",2014,154
"1330","Speyeria cybele",2017,130
"1331","Speyeria cybele",2018,145
"1333","Speyeria cybele",2020,159
"1337","Strymon melinus",1993,135
"1338","Strymon melinus",1994,145
"1339","Strymon melinus",1995,166
"1340","Strymon melinus",1996,167
"1341","Strymon melinus",1997,92
"1342","Strymon melinus",1998,144
"1343","Strymon melinus",1999,99
"1344","Strymon melinus",2000,85
"1345","Strymon melinus",2001,200
"1346","Strymon melinus",2002,132
"1347","Strymon melinus",2003,134
"1348","Strymon melinus",2004,86
"1349","Strymon melinus",2005,124
"1350","Strymon melinus",2006,197
"1351","Strymon melinus",2007,157
"1352","Strymon melinus",2008,170
"1353","Strymon melinus",2009,135
"1354","Strymon melinus",2010,148
"1355","Strymon melinus",2011,121
"1356","Strymon melinus",2012,104
"1357","Strymon melinus",2013,200
"1358","Strymon melinus",2014,158
"1359","Strymon melinus",2015,163
"1360","Strymon melinus",2016,156
"1361","Strymon melinus",2017,136
"1362","Strymon melinus",2018,167
"1363","Strymon melinus",2019,147
"1364","Strymon melinus",2020,195
"1368","Thorybes bathyllus",1993,135
"1371","Thorybes bathyllus",1996,125
"1374","Thorybes bathyllus",1999,135
"1375","Thorybes bathyllus",2000,114
"1376","Thorybes bathyllus",2001,132
"1377","Thorybes bathyllus",2002,125
"1378","Thorybes bathyllus",2003,140
"1379","Thorybes bathyllus",2004,126
"1382","Thorybes bathyllus",2007,126
"1383","Thorybes bathyllus",2008,143
"1384","Thorybes bathyllus",2009,146
"1385","Thorybes bathyllus",2010,134
"1399","Vanessa atalanta",1993,156
"1400","Vanessa atalanta",1994,135
"1401","Vanessa atalanta",1995,135
"1403","Vanessa atalanta",1997,131
"1404","Vanessa atalanta",1998,129
"1405","Vanessa atalanta",1999,126
"1406","Vanessa atalanta",2000,138
"1407","Vanessa atalanta",2001,139
"1408","Vanessa atalanta",2002,97
"1409","Vanessa atalanta",2003,134
"1410","Vanessa atalanta",2004,119
"1411","Vanessa atalanta",2005,93
"1412","Vanessa atalanta",2006,115
"1413","Vanessa atalanta",2007,132
"1414","Vanessa atalanta",2008,109
"1415","Vanessa atalanta",2009,141
"1416","Vanessa atalanta",2010,129
"1417","Vanessa atalanta",2011,119
"1418","Vanessa atalanta",2012,116
"1419","Vanessa atalanta",2013,129
"1420","Vanessa atalanta",2014,131
"1421","Vanessa atalanta",2015,122
"1422","Vanessa atalanta",2016,99
"1423","Vanessa atalanta",2017,99
"1424","Vanessa atalanta",2018,118
"1425","Vanessa atalanta",2019,113
"1430","Vanessa virginiensis",1993,125
"1431","Vanessa virginiensis",1994,125
"1432","Vanessa virginiensis",1995,115
"1433","Vanessa virginiensis",1996,126
"1434","Vanessa virginiensis",1997,92
"1435","Vanessa virginiensis",1998,114
"1436","Vanessa virginiensis",1999,103
"1437","Vanessa virginiensis",2000,96
"1438","Vanessa virginiensis",2001,83
"1439","Vanessa virginiensis",2002,81
"1440","Vanessa virginiensis",2003,127
"1441","Vanessa virginiensis",2004,109
"1442","Vanessa virginiensis",2005,123
"1443","Vanessa virginiensis",2006,106
"1444","Vanessa virginiensis",2007,94
"1445","Vanessa virginiensis",2008,108
"1446","Vanessa virginiensis",2009,138
"1447","Vanessa virginiensis",2010,121
"1448","Vanessa virginiensis",2011,114
"1449","Vanessa virginiensis",2012,79
"1450","Vanessa virginiensis",2013,130
"1451","Vanessa virginiensis",2014,156
"1452","Vanessa virginiensis",2015,137
"1453","Vanessa virginiensis",2016,114
"1454","Vanessa virginiensis",2017,99
"1455","Vanessa virginiensis",2018,122
"1456","Vanessa virginiensis",2019,114
"1465","Wallengrenia otho",1997,160
"1466","Wallengrenia otho",1998,151
"1467","Wallengrenia otho",1999,158
"1468","Wallengrenia otho",2000,160
"1470","Wallengrenia otho",2002,134
"1471","Wallengrenia otho",2003,150
"1472","Wallengrenia otho",2004,137
"1473","Wallengrenia otho",2005,155
"1474","Wallengrenia otho",2006,157
"1475","Wallengrenia otho",2007,148
"1476","Wallengrenia otho",2008,150
"1477","Wallengrenia otho",2009,157
"1478","Wallengrenia otho",2010,140
"1481","Wallengrenia otho",2013,164
"1482","Wallengrenia otho",2014,153
"1485","Wallengrenia otho",2017,127
